Brand,Description,EndingInventoryUnits,UnsoldCapital
676,Pinnacle Whipped Vodka,1071,10699.29
680,Midnight Moon Strawberry,822,16431.78
685,Caravan Cab Svgn,78,3899.2200000000003
686,Midnight Moon Cherry,733,14652.669999999998
689,McManis Pnt Nr Cal,511,6126.89
693,Svedka Vanilla Vodka,131,1701.69
694,Hiram Walker Creme de Cassis,35,290.15
700,Hiram Walker Cr de Cacao Br,23,190.67
702,Skyy Vodka,60,989.3999999999999
703,Skyy Infusions Citrus Vodka,3,49.47
704,Van Winkle Special Rsv 12 Yr,2,139.98
709,Bitter Truth Orange Bitters,112,2238.8799999999997
711,Bitter Truth Celery Bitters,220,4397.799999999999
712,Cruzan Citrus Flavored Rum,8,87.92
714,Allen's Peach Schnapps,11,65.89
715,Hiram Walker Cr de Cacao Wh,18,149.21999999999997
717,Balvenie 30 Yr Single Barrel,3,2999.9700000000003
718,Hiram Walker Mango,10,104.9
722,Ciroc Coconut Vodka,118,1060.82
728,George Dickel Barrel Select,438,19267.620000000003
731,Black & White Scotch,11,296.89
735,Orange Quattro di Amore,12,173.88
742,DeKuyper Spearmint Schnapps,45,584.5500000000001
743,Angels Envy Whiskey,344,17196.56
744,Ciroc Red Berry Vodka,115,1033.8500000000001
746,Allen's Melon Liqueur,11,65.89
749,Stolichnaya Hot Vodka,907,9060.93
751,Sobieski Espresso Vodka,6,59.940000000000005
752,Meletti Cioccolato,4,99.96
753,LaBelle Winery Blueberry,850,16991.5
754,Stolichnaya Sticki Vodka,3013,30099.87
755,Vincent Van Gogh Raspberry,11,307.89
756,Barton Long Island Iced Tea,306,2138.94
757,Jim Beam Rye,821,15590.789999999999
758,Cointreau Liqueur,106,4450.9400000000005
759,Bunnahabhain 12 Yr Single,444,26635.56
764,Smirnoff Blueberry Vodka,35,507.15
765,Vincent Van Gogh Dutch Choc,20,559.8
771,Bak's Krupnik Honey Liqueur,2,29.98
775,Barton Light Rum,170,1069.3
776,Jim Beam Black,53,1218.4699999999998
778,Svedka Vodka,107,1389.93
779,Svedka Raspberry Vodka,113,1467.8700000000001
780,Svedka Clementine Vodka,66,857.34
781,DeKuyper Cranberry,34,441.66
782,Remy Martin 1738 Accord Ryl,762,35806.38
784,Allen's Sour Apple Liqueur,12,71.88
787,Cherry Heering Liqueur,1,34.99
788,Skinnygirl Cucumber Vodka,3,44.97
792,Atlantico Platino Rum,4,79.96
799,Svedka Colada Vodka,1,12.99
800,Jameson Irish Whiskey,1561,51497.39
802,Bacardi Torched Cherry Rum,1021,10199.79
803,Bacardi Gold Rum,57,882.9300000000001
804,Bacardi Limon Rum,132,2044.6799999999998
805,B & B Liqueur Dom,16,527.84
806,DeKuyper Peachtree Schnapps,180,2338.2
807,Jim Beam,891,16029.089999999998
809,Southern Comfort,806,16111.939999999999
811,Jack Daniels No 7 Black,1860,52061.399999999994
812,Jagermeister Liqueur,1391,29197.09
814,Sammy's Beach Bar Rum,554,5534.46
818,Gordons London Dry Gin,41,409.59000000000003
821,Grand Marnier,784,30568.160000000003
822,Tanqueray,1021,27556.789999999997
823,Johnnie Walker Red Label,64,1791.3600000000001
824,Dewars White Label Scotch,897,24210.03
825,Johnnie Walker Black Label,220,9237.800000000001
826,Clan MacGregor Scotch,25,299.75
827,Bols Anisette,97,969.03
828,Bols Sloe Gin,99,989.01
829,Tanqueray Sterling Vodka,23,344.77
830,Bols White Creme De Menthe,39,389.61
831,Bols Green Creme De Menthe,183,1828.17
832,Bols Strawberry Liqueur,58,579.42
833,Bols White Creme De Cacao,65,649.35
834,Bols Brown Creme de Cacao,69,689.3100000000001
835,Bols Creme De Noyaux,20,199.8
836,Bols Creme de Cassis,54,539.46
837,Bols Creme de Banana,59,589.41
838,Bols Cherry Flavored Brandy,72,791.28
839,Bols Ginger Brandy,25,262.25
840,Bols Peach Flavored Brandy,56,615.44
842,Bols Apricot Flavored Brand,20,219.8
844,Bols Melon Liqueur,36,359.64000000000004
845,Bols Amaretto Liqueur,48,479.52
849,Bols Peach Schnapps,17,169.82999999999998
853,Bols Butterscotch,17,169.82999999999998
854,Seagrams VO Canadian Whiskey,466,7451.34
855,Black Velvet,95,1044.05
856,Chinaco Blanco Tequila,162,4858.379999999999
857,Kahlua,1912,43956.88
858,Canadian Club,812,9735.880000000001
859,Beefeater Gin,745,17127.55
860,Bols Orange Curacao,118,1296.8200000000002
861,Barton Gin,160,1038.4
862,Jacques Bonet Brandy,15,119.85000000000001
863,Ten High Bourbon,20,179.8
864,Montezuma Tequila Gold,15,119.85000000000001
865,Montezuma Tequila White,43,343.57
867,Rosita Tequila Liqueur,5,36.45
868,Tanqueray Ten Gin,11,362.89
869,DeKuyper Anisette,28,279.72
870,Carpano Antica Formula,256,7677.44
871,DeKuyper Blackberry Brandy,40,399.6
872,DeKuyper Cherry Brandy,20,199.8
874,DeKuyper Creme de Banana,23,206.76999999999998
875,DeKuyper Creme de Cacao Dark,59,530.41
876,DeKuyper Creme de Cacao Whit,179,1609.21
877,DeKuyper Creme de Cassis,241,2166.59
878,DeKuyper Green Creme de Ment,411,4105.89
879,DeKuyper White Creme de Ment,26,259.74
880,Sobieski Vanilla Vodka,21,209.79
881,DeKuyper Hazelnut,50,449.5
882,DeKuyper Hot Damn Cinnamon,44,571.56
883,Patron Burdeos Anejo Tequila,43,21499.57
884,DeKuyper Orange Curacao,34,305.66
886,DeKuyper Peppermint,19,246.81
887,DeKuyper Razzmatazz,73,948.27
888,DeKuyper Sloe Gin,13,116.86999999999999
889,DeKuyper Sour Apple Pucker,168,1510.32
890,Sobieski Cytron Vodka,16,159.84
892,Uncle Val's Botanical Gin,651,22778.49
895,Sambuca Romana,121,2902.79
896,Rumpleminze,107,2566.93
897,Montezuma Blue,87,590.73
898,Robert Sinskey Cab Svgn Stag,11,1044.8899999999999
899,Absolut Mandrin,72,1439.28
900,Capt Morgan Parrot Bay Coco,6,89.94
903,Bombay Sapphire Gin,942,26366.579999999998
904,Malibu Rum,500,8995.0
905,DeKuyper Grape Pucker,45,584.55
906,DeKuyper Watermelon Pucker,62,805.38
910,Goldschlager Cinnamon Schnps,32,735.68
912,Smirnoff Vanilla Vodka,15,217.35
913,Smirnoff Raspberry Vodka,79,1144.71
914,Smirnoff Orange Vodka,18,260.82
915,Smirnoff Citrus Vodka,34,492.65999999999997
918,Smirnoff Cherry Vodka,28,405.72
920,Sobieski Vodka,20,199.8
921,El Tesoro Platinum Tequila,255,10197.45
923,DeKuyper Peach Pucker,2,25.98
924,Lombardo Marsala Ambra Dry,1,1.99
926,Hangar One Kaffir Lime Vodk,4,111.96
929,DeKuyper Island Punch Pucker,89,1156.1100000000001
932,Robert Sinskey Marcien Red,33,3299.6699999999996
934,Tanteo Jalapeno Tequila,452,16267.480000000001
936,Tanteo Cocoa Tequila,21,839.79
938,Jack Daniels Master Dist VAP,271,8127.289999999999
942,Glenmorangie Nectar D'Or,344,21324.56
945,Vincent Van Gogh Pineapple,14,391.85999999999996
950,Mastersons 10 Yr Old Rye,4,319.96
953,Briottet Creme de Framboise,19,569.81
955,Allen's Pomegranate Liqueur,3,17.97
956,Jose Cuervo Tradicional,14,419.86
957,Hangar One Blueberry Vodka,4,111.96
961,Maschio Prime Arance,2,100.98
966,Patron Citronge Orange Liqu,1223,25670.769999999997
967,Chopin Vodka,10,319.9
970,Prairie Organic Kosher Vodka,3,44.97
971,Sauza Extra Gold Tequila,219,3501.81
972,Ciroc Snap Frost Vodka,38,1291.6200000000001
974,Bacardi O Orange Rum,36,557.64
975,Drambuie,16,559.84
976,McCormick Gold Label Bourbon,15,142.35
977,McCormick Scotch,38,436.62
978,Ron Rio Silver Rum,62,433.38
979,Pancho Villa Rojo,16,124.64
981,McCormick Triple Sec,81,323.19
982,McCormick Long Island Iced,164,1146.3600000000001
984,Patron XO Cafe Liqueur,1496,38881.04
989,Absolut Pears,46,919.54
990,Ethyl Alcohol 200 Proof,1,134.49
994,Absolut Apeach,17,373.8299999999999
995,Absolut Ruby Red,29,579.71
996,Herradura Seleccion Suprema,27,8099.7300000000005
998,Corralejo Blanco Tequila,156,3898.4399999999996
999,Jameson 18 Year Old,202,26257.98
1001,Baileys 50mL 4 Pack,425,2545.75
1003,Crown Royal VAP Glass+Coastr,2683,61682.17
1004,Jim Beam Black w/2 Glasses,7,160.93
1012,Courvoisier VSOP VAP,51,1784.4900000000002
1019,Drambuie Glass Pack,112,3022.88
1023,Hennessy VSOP Cognac + 50mL,28,1315.72
1024,Hennessy VS + VSOP 50mL,95,3134.05
1025,Fulton's Harvest Pumpkin Liq,8,79.92
1026,Ole Smoky Apple Pie Pour Pak,5,94.94999999999999
1028,Amaretto di Amore VAP,578,5774.22
1030,Ole Smoky Pumpkin Pie,87,1652.1299999999999
1031,Avion Tasting Flight 3/375mL,24,1199.76
1033,Chivas Regal w/ 2 Glasses,6,179.94
1034,Mr Boston Holiday Nog,1,4.99
1036,Jameson Trilogy Pack,92,3679.0800000000004
1037,JP Wiser's Rye w/ 2 Glasses,8,175.92
1038,1800 Silver w/ Shot Glasses,88,1935.12
1044,Dry Sack Sherry +15 Yr Gift,0,0.0
1045,Glenfiddich Trio 200ml Pack,16,799.84
1048,Mother's Holiday Nog,1,8.99
1050,Hudson Maple Cask Rye,5,224.95000000000002
1059,Old St Nick's Egg Nog,1,5.99
1060,Jack Daniels Bruins Glass Pk,1917,53656.829999999994
1062,St Christopher Gluhwein,1,6.99
1063,Ciroc Pineapple Vodka,36,1223.64
1064,Jack Daniels Honey VAP,18,485.82
1065,DiSaronno 3/50mls Pack,242,3143.58
1067,Absente  Glass & Spoon Pack,238,2853.62
1068,Capt Morgan Jack O Blast,5,74.95
1069,Spade&Bushel 10yr Irish Wsky,804,32151.96
1070,Three Olives Vodka w/3 50mls,788,11812.12
1071,Straw Boys Vodka,1140,22788.6
1073,Straw Boys Poitin,168,5878.32
1074,Brothership Whiskey,570,28494.3
1076,Capt Morgan Jack O Blast,71,70.28999999999999
1078,Ezra Brooks Bourbon Cream,338,4390.62
1081,Chivas Regal w/2 50mLs,165,4948.349999999999
1082,Bushmills Blackbush VAP,184,4966.16
1084,Cointreau Liqueur w/ Carafe,106,3178.9399999999996
1085,Baileys Pumpkin Spice,1,18.99
1086,Hennessy VSOP Privilege VAP,240,11277.6
1088,El Jimador Anejo Tequila,8,191.92
1091,Casa Noble 3 Btl Club Pack,226,12427.74
1093,Old St Andrew 3 Mini Barrels,182,4548.179999999999
1094,Four Roses Single Barrel Brb,552,23178.48
1095,Southern Comfort w/Shaker,865,12101.35
1106,Aberfeldy Single Cask,268,66997.32
1107,Common Man Slctn Woodford Rs,4,183.96
1111,Penn Dutch Egg Nog,16,111.84
1112,Ardbeg Exploration Pk +50mls,27,1187.73
1114,DiSaronno Etro Icon VAP,15,299.85
1121,Old St Andrews Tumbler Pack,471,1879.29
1124,Manchester Conn Wild Turkey,12,659.88
1125,Jack Daniels Equity VAP,1156,31200.44
1127,Granny's Gingerbread Cream,43,515.57
1128,Smugglers Notch Gin,17,543.83
1129,Smugglers Notch Rum,12,455.88
1130,Smugglers Notch Bourbon,319,14670.810000000001
1132,Jack Daniels Honey & Fire Pk,717,18634.829999999998
1133,Glenmorangie Collection 4 Pk,69,2207.31
1135,Rebel Reserve Bourbon,677,13533.23
1136,Malibu 50ml Sampler Pack,569,3408.31
1148,Old New England Egg Nog,5,34.95
1149,Crown Royal Regal Apple,0,0.0
1150,Crown Royal Vanilla,0,0.0
1152,Captain Morgan Loco Nut Rum,0,0.0
1156,Old New England Egg Nog,2,25.98
1157,Bailey's Almande-Irish Cream,0,0.0
1158,Old New England Choc Egg Nog,6,41.94
1162,Campeon Reposado Tequila,0,0.0
1163,Absolut Lime Vodka,0,0.0
1174,Rebel Yell,816,16311.839999999998
1176,Brora 37 Yr Old Single Malt,6,11999.94
1178,Evan Williams Black Label B,1031,11846.19
1180,Evan Williams Black Label B,2184,45842.159999999996
1181,Kahlua Peppermint Mocha,5,94.94999999999999
1186,Evan Williams Single Barrel,550,15394.5
1188,Stolichnaya 80/2 Glass Pack,212,3601.8799999999997
1189,Mad River 3 Pack Revolution,271,13547.29
1193,Clynelish Cask Strgth Scotch,6,4799.9400000000005
1195,Baileys Pumpkin Spice,44,43.559999999999995
1212,DiSaronna Amaretto Sour VAP,27,539.73
1215,Tullibardine Sherry Finish,113,7343.87
1217,Dalwhinnie 25 Yr Single Malt,3,1349.97
1220,Woodford Reserve Bourbon,1122,34770.78
1226,Lexington Bourbon,540,12954.599999999999
1228,Glenfiddich Ancient RSV 18,421,39990.79
1231,Jack Daniels No 7 Black,2338,25694.62
1232,Jack Daniels No 7 Black,4920,132790.8
1233,Jack Daniels No 7 Black,15047,526494.53
1234,Woodford Rsv Manchester Club,0,0.0
1236,Southern Comfort & Egg Nog,1,26.99
1237,Jack Daniels Single Barrel,2336,105096.64
1238,The Glenlivet 12 Yr Single,3317,16551.83
1239,Booker's Bourbon,538,27432.620000000003
1240,Remy Martin VSOP Gift Pack,71,2484.29
1244,Jack Daniels Winter Jack,1204,19251.96
1245,Pittyvaich 25 Yr Single Malt,4,1599.96
1248,Tullibardine Sauterne Finish,138,8968.619999999999
1249,Jim Beam Apple,746,18642.539999999997
1251,Port Ellen 32 Yr Single Malt,6,22199.94
1253,Tullibardine Burgundy Finish,129,8383.71
1258,Jim Beam Black,912,20966.879999999997
1259,St George Gin 3/200mls Combo,73,2043.27
1261,Jim Beam Kentucky Fire,107,105.92999999999999
1262,Fitch's Goat Moonshine,70,1539.3
1263,The Cally 40 Yr Single Malt,5,5999.95
1267,Fitch's Goat 100% Corn Whsky,66,1979.34
1269,Jeffersons Bourbon,2788,72460.12
1271,Jeffersons Reserve Bourbon,623,31143.77
1273,Jim Beam Choice,581,18586.19
1274,No. 14 Bourbon,30,1349.7
1276,Jack Daniels Single Barrel,1751,8737.49
1277,Kavalan Ex-Bourbon Oak Whsky,24,2759.7599999999998
1278,Jim Beam Black,1602,57655.98
1279,Woodford Rsv MC Brandy Fnish,142,14198.58
1281,Benchmark Old #8 Bourbon,1398,25150.019999999997
1282,1792 Small Batch Bourbon,592,15978.08
1295,Jack Daniels No 7 Black,1035,4129.650000000001
1296,Tap 357 Maple Rye Whisky,144,3886.5599999999995
1297,Jim Beam Black,975,965.25
1300,Ladyburn 41 Yr Old Scotch,9,17999.91
1309,Makers Mark Cask Strength,305,18296.95
1310,Remy Martin XO Excelence VAP,1,159.99
1323,Early Times,1053,18943.469999999998
1330,Grey Goose Glass Pack,53,2649.4700000000003
1336,Gr Marnier w/Cordial Glasses,196,5486.04
1339,The Glenlivet 12 Yr Single,99,4751.01
1340,Jim Beam Jacob's Ghost,214,3849.8599999999997
1342,Kavalan Classic Single Malt,15,1499.85
1343,Jack Daniels Sinatra Select,79,13113.210000000001
1345,Basil Hayden Bourbon,1257,47753.43
1346,Knob Creek Bourbon,5694,176457.06
1347,Bakers Bourbon,730,29192.7
1348,Knob Creek Bourbon,1187,20167.129999999997
1352,Patron Anejo Clsc Gift Set,2,123.98
1355,Knob Creek Bourbon,3113,12420.87
1358,Knob Creek Bourbon,980,58790.2
1359,Knob Creek Rye,1957,58690.43
1361,BenRiach Burgundy Finish 94,100,18999.0
1364,Bols Pumpkin Spice,1,9.99
1365,Stoli Mini Bar 5/50mLs Pack,1552,12400.48
1366,Red Stag by Jim Beam,6376,8225.04
1373,Jim Beam Honey,2521,37789.79
1375,Jim Beam,2413,40996.869999999995
1376,Jim Beam,13180,276648.19999999995
1377,Jim Beam Honey,605,15118.949999999999
1378,Jim Beam,2011,19084.39
1379,Jim Beam Traveler,1486,25247.14
1380,Bulleit 95 Rye,1580,75824.2
1382,Makers 46,725,27542.75
1383,Smirnoff Red White & Berry,2,25.98
1384,Bulleit 95 Rye,3834,99645.65999999999
1385,Makers Mark,6595,164809.05
1386,George Dickel No 8 Bourbon,543,11397.57
1388,Red Stag by Jim Beam,1141,28513.589999999997
1389,Makers Mark,5021,15012.79
1390,Makers Mark,67,2478.3300000000004
1392,Red Stag Hardcore Cider,20,329.79999999999995
1394,Makers Mark,1014,17227.859999999997
1395,Old Crow,1056,8437.44
1396,Old Crow,1315,21026.85
1397,Jim Beam Kentucky Fire,2759,41357.41
1398,Blantons Sgl Barrel Bourbon,191,11076.09
1399,Jim Beam Signature Craft,22,813.7800000000001
1415,Old Grand Dad,929,12996.710000000001
1424,Bulleit Bourbon,1063,16997.37
1425,Granite Lightning Whiskey,365,10216.349999999999
1460,Old Forester Bourbon,2,43.98
1464,Tin Cup Whiskey,620,15493.8
1465,Woodford Rsv Bourbon,904,14454.960000000001
1468,Knob Creek Single Barrel Rsv,1588,66680.12
1474,George Dickel #12 Sour Mash,20,539.8
1479,Ten High,1087,16294.130000000001
1483,DeKuyper Cane Trial Pack,42,125.58000000000001
1484,Knob Creek Rye,425,23795.75
1489,Crown Royal Cornerstone Blnd,37,2219.63
1498,Jefferson's Wood Experiment,1,99.99
1505,Cleveland Christmas Bourbon,585,16374.15
1515,Old Overholt,731,10957.69
1516,DiSaronno Versace Wrap VAP,2,47.98
